year,level_1,value
1980,15 Years & Over,3.44
1984,15 Years & Over,3.16
1985,15 Years & Over,3.14
1986,15 Years & Over,3.1
1987,15 Years & Over,3.05
1988,15 Years & Over,2.99
1989,15 Years & Over,3
1990,15 Years & Over,2.85
1991,15 Years & Over,2.86
1992,15 Years & Over,2.83
1993,15 Years & Over,2.8
1994,15 Years & Over,2.72
1996,15 Years & Over,2.57
1997,15 Years & Over,2.44
1998,15 Years & Over,2.38
1999,15 Years & Over,2.38
2000,15 Years & Over,2.53
2001,15 Years & Over,2.42
2002,15 Years & Over,2.4
2003,15 Years & Over,2.37
2004,15 Years & Over,2.37
2005,15 Years & Over,2.37
2006,15 Years & Over,2.32
2007,15 Years & Over,2.27
2008,15 Years & Over,2.26
2009,15 Years & Over,2.24
2010,15 Years & Over,2.24
2011,15 Years & Over,2.21
2012,15 Years & Over,2.17
2013,15 Years & Over,2.16
2014,15 Years & Over,2.16
2015,15 Years & Over,2.14
2016,15 Years & Over,2.09
2017,15 Years & Over,2.08
2018,15 Years & Over,2.05
2019,15 Years & Over,2.01