Date,Daily Confirmed,Daily Deaths,Perc population completed vaccination,Phase
2020-01-23,1,0,0,
2020-01-24,2,0,0,
2020-01-25,1,0,0,
2020-01-26,0,0,0,
2020-01-27,1,0,0,
2020-01-28,2,0,0,
2020-01-29,3,0,0,
2020-01-30,3,0,0,
2020-01-31,3,0,0,
2020-02-01,2,0,0,
2020-02-02,0,0,0,
2020-02-03,0,0,0,
2020-02-04,6,0,0,
2020-02-05,4,0,0,
2020-02-06,2,0,0,
2020-02-07,3,0,0,
2020-02-08,7,0,0,
2020-02-09,3,0,0,
2020-02-10,2,0,0,
2020-02-11,2,0,0,
2020-02-12,3,0,0,
2020-02-13,8,0,0,
2020-02-14,9,0,0,
2020-02-15,5,0,0,
2020-02-16,3,0,0,
2020-02-17,2,0,0,
2020-02-18,4,0,0,
2020-02-19,3,0,0,
2020-02-20,1,0,0,
2020-02-21,1,0,0,
2020-02-22,3,0,0,
2020-02-23,0,0,0,
2020-02-24,1,0,0,
2020-02-25,1,0,0,
2020-02-26,2,0,0,
2020-02-27,3,0,0,
2020-02-28,2,0,0,
2020-02-29,4,0,0,
2020-03-01,4,0,0,
2020-03-02,2,0,0,
2020-03-03,2,0,0,
2020-03-04,2,0,0,
2020-03-05,5,0,0,
2020-03-06,13,0,0,
2020-03-07,8,0,0,
2020-03-08,12,0,0,
2020-03-09,10,0,0,
2020-03-10,6,0,0,
2020-03-11,12,0,0,
2020-03-12,9,0,0,
2020-03-13,13,0,0,
2020-03-14,12,0,0,
2020-03-15,14,0,0,
2020-03-16,17,0,0,
2020-03-17,23,0,0,
2020-03-18,47,0,0,
2020-03-19,32,0,0,
2020-03-20,40,0,0,
2020-03-21,47,2,0,
2020-03-22,23,0,0,
2020-03-23,54,0,0,
2020-03-24,49,0,0,
2020-03-25,73,0,0,
2020-03-26,52,0,0,
2020-03-27,49,0,0,
2020-03-28,70,0,0,
2020-03-29,42,1,0,
2020-03-30,35,0,0,
2020-03-31,47,0,0,
2020-04-01,74,0,0,
2020-04-02,49,1,0,
2020-04-03,65,1,0,
2020-04-04,75,1,0,
2020-04-05,120,0,0,
2020-04-06,66,0,0,
2020-04-07,106,0,0,Circuit Breaker
2020-04-08,142,0,0,Circuit Breaker
2020-04-09,287,0,0,Circuit Breaker
2020-04-10,198,1,0,Circuit Breaker
2020-04-11,191,1,0,Circuit Breaker
2020-04-12,233,0,0,Circuit Breaker
2020-04-13,386,1,0,Circuit Breaker
2020-04-14,334,1,0,Circuit Breaker
2020-04-15,447,0,0,Circuit Breaker
2020-04-16,728,0,0,Circuit Breaker
2020-04-17,623,1,0,Circuit Breaker
2020-04-18,942,0,0,Circuit Breaker
2020-04-19,596,0,0,Circuit Breaker
2020-04-20,1426,0,0,Circuit Breaker
2020-04-21,1111,0,0,Circuit Breaker
2020-04-22,1016,1,0,Circuit Breaker
2020-04-23,1037,0,0,Circuit Breaker
2020-04-24,897,0,0,Circuit Breaker
2020-04-25,618,0,0,Circuit Breaker
2020-04-26,931,0,0,Circuit Breaker
2020-04-27,799,2,0,Circuit Breaker
2020-04-28,528,0,0,Circuit Breaker
2020-04-29,690,0,0,Circuit Breaker
2020-04-30,528,1,0,Circuit Breaker
2020-05-01,932,1,0,Circuit Breaker
2020-05-02,447,1,0,Circuit Breaker
2020-05-03,657,1,0,Circuit Breaker
2020-05-04,573,0,0,Circuit Breaker
2020-05-05,632,0,0,Circuit Breaker
2020-05-06,788,2,0,Circuit Breaker
2020-05-07,741,0,0,Circuit Breaker
2020-05-08,768,0,0,Circuit Breaker
2020-05-09,753,0,0,Circuit Breaker
2020-05-10,876,0,0,Circuit Breaker
2020-05-11,486,1,0,Circuit Breaker
2020-05-12,884,0,0,Circuit Breaker
2020-05-13,675,0,0,Circuit Breaker
2020-05-14,752,0,0,Circuit Breaker
2020-05-15,793,0,0,Circuit Breaker
2020-05-16,465,1,0,Circuit Breaker
2020-05-17,682,0,0,Circuit Breaker
2020-05-18,305,0,0,Circuit Breaker
2020-05-19,451,0,0,Circuit Breaker
2020-05-20,570,0,0,Circuit Breaker
2020-05-21,448,1,0,Circuit Breaker
2020-05-22,614,0,0,Circuit Breaker
2020-05-23,642,0,0,Circuit Breaker
2020-05-24,548,0,0,Circuit Breaker
2020-05-25,344,0,0,Circuit Breaker
2020-05-26,383,0,0,Circuit Breaker
2020-05-27,533,0,0,Circuit Breaker
2020-05-28,373,0,0,Circuit Breaker
2020-05-29,611,0,0,Circuit Breaker
2020-05-30,506,0,0,Circuit Breaker
2020-05-31,518,0,0,Circuit Breaker
2020-06-01,408,1,0,Circuit Breaker
2020-06-02,544,0,0,Phase 1
2020-06-03,569,0,0,Phase 1
2020-06-04,517,0,0,Phase 1
2020-06-05,261,0,0,Phase 1
2020-06-06,344,1,0,Phase 1
2020-06-07,383,0,0,Phase 1
2020-06-08,386,0,0,Phase 1
2020-06-09,218,0,0,Phase 1
2020-06-10,451,0,0,Phase 1
2020-06-11,422,0,0,Phase 1
2020-06-12,463,0,0,Phase 1
2020-06-13,347,1,0,Phase 1
2020-06-14,407,0,0,Phase 1
2020-06-15,214,0,0,Phase 1
2020-06-16,151,0,0,Phase 1
2020-06-17,247,0,0,Phase 1
2020-06-18,257,0,0,Phase 1
2020-06-19,142,0,0,Phase 2
2020-06-20,218,0,0,Phase 2
2020-06-21,262,0,0,Phase 2
2020-06-22,218,0,0,Phase 2
2020-06-23,119,0,0,Phase 2
2020-06-24,191,0,0,Phase 2
2020-06-25,113,0,0,Phase 2
2020-06-26,219,0,0,Phase 2
2020-06-27,291,0,0,Phase 2
2020-06-28,213,0,0,Phase 2
2020-06-29,202,0,0,Phase 2
2020-06-30,246,0,0,Phase 2
2020-07-01,215,0,0,Phase 2
2020-07-02,188,0,0,Phase 2
2020-07-03,169,0,0,Phase 2
2020-07-04,185,0,0,Phase 2
2020-07-05,136,0,0,Phase 2
2020-07-06,183,0,0,Phase 2
2020-07-07,157,0,0,Phase 2
2020-07-08,158,0,0,Phase 2
2020-07-09,125,0,0,Phase 2
2020-07-10,191,0,0,Phase 2
2020-07-11,170,0,0,Phase 2
2020-07-12,178,0,0,Phase 2
2020-07-13,322,0,0,Phase 2
2020-07-14,347,1,0,Phase 2
2020-07-15,249,0,0,Phase 2
2020-07-16,248,0,0,Phase 2
2020-07-17,327,0,0,Phase 2
2020-07-18,202,0,0,Phase 2
2020-07-19,257,0,0,Phase 2
2020-07-20,123,0,0,Phase 2
2020-07-21,399,0,0,Phase 2
2020-07-22,310,0,0,Phase 2
2020-07-23,354,0,0,Phase 2
2020-07-24,277,0,0,Phase 2
2020-07-25,513,0,0,Phase 2
2020-07-26,481,0,0,Phase 2
2020-07-27,469,0,0,Phase 2
2020-07-28,359,0,0,Phase 2
2020-07-29,334,0,0,Phase 2
2020-07-30,278,0,0,Phase 2
2020-07-31,396,0,0,Phase 2
2020-08-01,307,0,0,Phase 2
2020-08-02,313,0,0,Phase 2
2020-08-03,226,0,0,Phase 2
2020-08-04,295,0,0,Phase 2
2020-08-05,908,0,0,Phase 2
2020-08-06,301,0,0,Phase 2
2020-08-07,242,0,0,Phase 2
2020-08-08,132,0,0,Phase 2
2020-08-09,175,0,0,Phase 2
2020-08-10,188,0,0,Phase 2
2020-08-11,61,0,0,Phase 2
2020-08-12,42,0,0,Phase 2
2020-08-13,102,0,0,Phase 2
2020-08-14,83,0,0,Phase 2
2020-08-15,81,0,0,Phase 2
2020-08-16,86,0,0,Phase 2
2020-08-17,91,0,0,Phase 2
2020-08-18,100,0,0,Phase 2
2020-08-19,93,0,0,Phase 2
2020-08-20,68,0,0,Phase 2
2020-08-21,117,0,0,Phase 2
2020-08-22,50,0,0,Phase 2
2020-08-23,87,0,0,Phase 2
2020-08-24,51,0,0,Phase 2
2020-08-25,31,0,0,Phase 2
2020-08-26,60,0,0,Phase 2
2020-08-27,77,0,0,Phase 2
2020-08-28,94,0,0,Phase 2
2020-08-29,51,0,0,Phase 2
2020-08-30,54,0,0,Phase 2
2020-08-31,41,0,0,Phase 2
2020-09-01,40,0,0,Phase 2
2020-09-02,49,0,0,Phase 2
2020-09-03,48,0,0,Phase 2
2020-09-04,40,0,0,Phase 2
2020-09-05,34,0,0,Phase 2
2020-09-06,40,0,0,Phase 2
2020-09-07,22,0,0,Phase 2
2020-09-08,47,0,0,Phase 2
2020-09-09,75,0,0,Phase 2
2020-09-10,63,0,0,Phase 2
2020-09-11,86,0,0,Phase 2
2020-09-12,42,0,0,Phase 2
2020-09-13,49,0,0,Phase 2
2020-09-14,48,0,0,Phase 2
2020-09-15,34,0,0,Phase 2
2020-09-16,27,0,0,Phase 2
2020-09-17,18,0,0,Phase 2
2020-09-18,11,0,0,Phase 2
2020-09-19,15,0,0,Phase 2
2020-09-20,18,0,0,Phase 2
2020-09-21,31,0,0,Phase 2
2020-09-22,21,0,0,Phase 2
2020-09-23,12,0,0,Phase 2
2020-09-24,15,0,0,Phase 2
2020-09-25,11,0,0,Phase 2
2020-09-26,20,0,0,Phase 2
2020-09-27,15,0,0,Phase 2
2020-09-28,15,0,0,Phase 2
2020-09-29,27,0,0,Phase 2
2020-09-30,23,0,0,Phase 2
2020-10-01,19,0,0,Phase 2
2020-10-02,10,0,0,Phase 2
2020-10-03,6,0,0,Phase 2
2020-10-04,12,0,0,Phase 2
2020-10-05,7,0,0,Phase 2
2020-10-06,11,0,0,Phase 2
2020-10-07,10,0,0,Phase 2
2020-10-08,9,0,0,Phase 2
2020-10-09,10,0,0,Phase 2
2020-10-10,7,0,0,Phase 2
2020-10-11,10,0,0,Phase 2
2020-10-12,4,1,0,Phase 2
2020-10-13,4,0,0,Phase 2
2020-10-14,5,0,0,Phase 2
2020-10-15,3,0,0,Phase 2
2020-10-16,9,0,0,Phase 2
2020-10-17,3,0,0,Phase 2
2020-10-18,7,0,0,Phase 2
2020-10-19,4,0,0,Phase 2
2020-10-20,6,0,0,Phase 2
2020-10-21,12,0,0,Phase 2
2020-10-22,8,0,0,Phase 2
2020-10-23,10,0,0,Phase 2
2020-10-24,14,0,0,Phase 2
2020-10-25,5,0,0,Phase 2
2020-10-26,3,0,0,Phase 2
2020-10-27,7,0,0,Phase 2
2020-10-28,7,0,0,Phase 2
2020-10-29,7,0,0,Phase 2
2020-10-30,9,0,0,Phase 2
2020-10-31,12,0,0,Phase 2
2020-11-01,4,0,0,Phase 2
2020-11-02,1,0,0,Phase 2
2020-11-03,9,0,0,Phase 2
2020-11-04,7,0,0,Phase 2
2020-11-05,7,0,0,Phase 2
2020-11-06,4,0,0,Phase 2
2020-11-07,7,0,0,Phase 2
2020-11-08,2,0,0,Phase 2
2020-11-09,8,0,0,Phase 2
2020-11-10,9,0,0,Phase 2
2020-11-11,18,0,0,Phase 2
2020-11-12,11,0,0,Phase 2
2020-11-13,12,0,0,Phase 2
2020-11-14,2,0,0,Phase 2
2020-11-15,3,0,0,Phase 2
2020-11-16,5,0,0,Phase 2
2020-11-17,6,0,0,Phase 2
2020-11-18,5,0,0,Phase 2
2020-11-19,4,0,0,Phase 2
2020-11-20,4,0,0,Phase 2
2020-11-21,5,0,0,Phase 2
2020-11-22,12,0,0,Phase 2
2020-11-23,5,0,0,Phase 2
2020-11-24,18,0,0,Phase 2
2020-11-25,7,0,0,Phase 2
2020-11-26,5,0,0,Phase 2
2020-11-27,4,0,0,Phase 2
2020-11-28,6,1,0,Phase 2
2020-11-29,8,0,0,Phase 2
2020-11-30,5,0,0,Phase 2
2020-12-01,10,0,0,Phase 2
2020-12-02,2,0,0,Phase 2
2020-12-03,9,0,0,Phase 2
2020-12-04,3,0,0,Phase 2
2020-12-05,13,0,0,Phase 2
2020-12-06,5,0,0,Phase 2
2020-12-07,13,0,0,Phase 2
2020-12-08,12,0,0,Phase 2
2020-12-09,6,0,0,Phase 2
2020-12-10,6,0,0,Phase 2
2020-12-11,8,0,0,Phase 2
2020-12-12,8,0,0,Phase 2
2020-12-13,7,0,0,Phase 2
2020-12-14,5,0,0,Phase 2
2020-12-15,16,0,0,Phase 2
2020-12-16,12,0,0,Phase 2
2020-12-17,24,0,0,Phase 2
2020-12-18,9,0,0,Phase 2
2020-12-19,17,0,0,Phase 2
2020-12-20,19,0,0,Phase 2
2020-12-21,10,0,0,Phase 2
2020-12-22,29,0,0,Phase 2
2020-12-23,21,0,0,Phase 2
2020-12-24,13,0,0,Phase 2
2020-12-25,14,0,0,Phase 2
2020-12-26,10,0,0,Phase 2
2020-12-27,5,0,0,Phase 2
2020-12-28,5,0,0,Phase 3
2020-12-29,13,0,0,Phase 3
2020-12-30,27,0,0,Phase 3
2020-12-31,30,0,0,Phase 3
2021-01-01,30,0,0,Phase 3
2021-01-02,33,0,0,Phase 3
2021-01-03,35,0,0,Phase 3
2021-01-04,24,0,0,Phase 3
2021-01-05,28,0,0,Phase 3
2021-01-06,31,0,0,Phase 3
2021-01-07,33,0,0,Phase 3
2021-01-08,23,0,0,Phase 3
2021-01-09,29,0,0,Phase 3
2021-01-10,42,0,0,Phase 3
2021-01-11,22,0,0,Phase 3
2021-01-12,17,0,0,Phase 3
2021-01-13,38,0,0,Phase 3
2021-01-14,45,0,0,Phase 3
2021-01-15,30,0,0,Phase 3
2021-01-16,24,0,0,Phase 3
2021-01-17,30,0,0,Phase 3
2021-01-18,14,0,0,Phase 3
2021-01-19,30,0,0,Phase 3
2021-01-20,40,0,0,Phase 3
2021-01-21,38,0,0,Phase 3
2021-01-22,15,0,0,Phase 3
2021-01-23,10,0,0,Phase 3
2021-01-24,48,0,0,Phase 3
2021-01-25,44,0,0,Phase 3
2021-01-26,14,0,0,Phase 3
2021-01-27,25,0,0,Phase 3
2021-01-28,34,0,0,Phase 3
2021-01-29,24,0,0,Phase 3
2021-01-30,58,0,0,Phase 3
2021-01-31,29,0,0,Phase 3
2021-02-01,29,0,0,Phase 3
2021-02-02,19,0,0,Phase 3
2021-02-03,18,0,0,Phase 3
2021-02-04,22,0,0,Phase 3
2021-02-05,25,0,0,Phase 3
2021-02-06,26,0,0,Phase 3
2021-02-07,24,0,0,Phase 3
2021-02-08,22,0,0,Phase 3
2021-02-09,11,0,0,Phase 3
2021-02-10,15,0,0,Phase 3
2021-02-11,12,0,0,Phase 3
2021-02-12,18,0,0,Phase 3
2021-02-13,9,0,0,Phase 3
2021-02-14,14,0,0,Phase 3
2021-02-15,9,0,0,Phase 3
2021-02-16,1,0,0,Phase 3
2021-02-17,11,0,0,Phase 3
2021-02-18,11,0,0,Phase 3
2021-02-19,14,0,0,Phase 3
2021-02-20,12,0,0,Phase 3
2021-02-21,11,0,0,Phase 3
2021-02-22,10,0,0,Phase 3
2021-02-23,4,0,0,Phase 3
2021-02-24,7,0,0,Phase 3
2021-02-25,10,0,0,Phase 3
2021-02-26,13,0,0,Phase 3
2021-02-27,12,0,0,Phase 3
2021-02-28,11,0,0,Phase 3
2021-03-01,12,0,0,Phase 3
2021-03-02,8,0,0,Phase 3
2021-03-03,23,0,0,Phase 3
2021-03-04,19,0,0,Phase 3
2021-03-05,9,0,0,Phase 3
2021-03-06,13,0,0,Phase 3
2021-03-07,13,0,0,Phase 3
2021-03-08,13,0,0,Phase 3
2021-03-09,6,0,0,Phase 3
2021-03-10,10,0,0,Phase 3
2021-03-11,8,0,0,Phase 3
2021-03-12,10,0,0,Phase 3
2021-03-13,8,1,0,Phase 3
2021-03-14,17,0,0,Phase 3
2021-03-15,12,0,0,Phase 3
2021-03-16,11,0,0,Phase 3
2021-03-17,9,0,0,Phase 3
2021-03-18,15,0,0,Phase 3
2021-03-19,15,0,0,Phase 3
2021-03-20,17,0,0,Phase 3
2021-03-21,12,0,0,Phase 3
2021-03-22,12,0,0,Phase 3
2021-03-23,13,0,0,Phase 3
2021-03-24,15,0,0,Phase 3
2021-03-25,17,0,0,Phase 3
2021-03-26,12,0,0,Phase 3
2021-03-27,23,0,0,Phase 3
2021-03-28,12,0,0,Phase 3
2021-03-29,21,0,0,Phase 3
2021-03-30,26,0,0,Phase 3
2021-03-31,34,0,0,Phase 3
2021-04-01,26,0,0,Phase 3
2021-04-02,43,0,0,Phase 3
2021-04-03,18,0,0,Phase 3
2021-04-04,10,0,0,Phase 3
2021-04-05,17,0,0,Phase 3
2021-04-06,24,0,0,Phase 3
